target,include,include_display,resolved,occurrences,including_files,including_file_count,recursive_include_count,transitive_loc,total_cost,internal_includer_count
flags_test,stdexcept,stdexcept,False,3,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,string,string,False,34,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
flags_test,string_view,string_view,False,3,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/test_flags.cpp,3,,,,3
flags_test,sys/sysctl.h,sys/sysctl.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,sys/types.h,sys/types.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,tuple,tuple,False,4,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,type_traits,type_traits,False,12,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
flags_test,unistd.h,unistd.h,False,3,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,utility,utility,False,9,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
flags_test,variant,variant,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,vector,vector,False,28,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
flags_test,windows.h,windows.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
themachinethatgoesping_tools,/usr/include/eigen3/Eigen/Core,Core,True,10,/usr/include/eigen3/Eigen/Cholesky|/usr/include/eigen3/Eigen/Dense|/usr/include/eigen3/Eigen/Eigenvalues|/usr/include/eigen3/Eigen/Geometry|/usr/include/eigen3/Eigen/Householder|/usr/include/eigen3/Eigen/Jacobi|/usr/include/eigen3/Eigen/LU|/usr/include/eigen3/Eigen/QR|/usr/include/eigen3/Eigen/SparseCore|subprojects/tools/src/themachinethatgoesping/tools/rotationfunctions/quaternions.hpp,10,174,84809,848090,1
themachinethatgoesping_tools,/usr/include/eigen3/Eigen/Geometry,Geometry,True,5,/usr/include/eigen3/Eigen/Dense|/usr/include/eigen3/Eigen/Eigenvalues|subprojects/tools/src/themachinethatgoesping/tools/rotationfunctions/helper.hpp|subprojects/tools/src/themachinethatgoesping/tools/rotationfunctions/quaternions.hpp|subprojects/tools/src/themachinethatgoesping/tools/vectorinterpolators/slerpinterpolator.hpp,5,225,118128,590640,3
themachinethatgoesping_tools,/usr/include/eigen3/Eigen/Eigen,Eigen/Eigen,True,1,subprojects/tools/src/themachinethatgoesping/tools/rotationfunctions/helper.hpp,1,310,143543,143543,1
themachinethatgoesping_tools,subprojects/xtl-0.8.1/include/xtl/xcomplex.hpp,xtl/xcomplex.hpp,True,5,subprojects/tools/subprojects/xsimd-13.2.0/include/xsimd/arch/xsimd_scalar.hpp|subprojects/tools/subprojects/xsimd-13.2.0/include/xsimd/types/xsimd_utils.hpp|subprojects/tools/subprojects/xtensor-0.27.1/include/xtensor/core/xassign.hpp|subprojects/tools/subprojects/xtensor-0.27.1/include/xtensor/core/xmath.hpp|subprojects/tools/subprojects/xtensor-0.27.1/include/xtensor/misc/xtl_concepts.hpp,5,49,27592,137960,5
themachinethatgoesping_tools,/home/peurban/.local/share/mamba/envs/dev/include/boost/algorithm/string.hpp,boost/algorithm/string.hpp,True,1,subprojects/tools/src/themachinethatgoesping/tools/rotationfunctions/helper.hpp,1,515,107081,107081,1
themachinethatgoesping_tools,/home/peurban/.local/share/mamba/envs/dev/include/boost/iostreams/stream.hpp,boost/iostreams/stream.hpp,True,1,subprojects/tools/src/themachinethatgoesping/tools/classhelper/xxhashhelper.hpp,1,556,106890,106890,1
themachinethatgoesping_tools,/home/peurban/.local/share/mamba/envs/dev/include/boost/iostreams/concepts.hpp,boost/iostreams/concepts.hpp,True,2,/home/peurban/.local/share/mamba/envs/dev/include/boost/iostreams/detail/adapter/concept_adapter.hpp|subprojects/tools/src/themachinethatgoesping/tools/classhelper/xxhashhelper.hpp,2,123,21528,43056,1
themachinethatgoesping_tools,/home/peurban/.local/share/mamba/envs/dev/include/tbb/tbb.h,tbb/tbb.h,True,1,subprojects/tools/subprojects/xtensor-0.27.1/include/xtensor/core/xassign.hpp,1,92,35609,35609,1
themachinethatgoesping_tools,subprojects/xtl-0.8.1/include/xtl/xoptional_sequence.hpp,xtl/xoptional_sequence.hpp,True,1,subprojects/tools/subprojects/xtensor-0.27.1/include/xtensor/core/xtensor_forward.hpp,1,59,31782,31782,1
